,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-large,0,2000,5,None,amazon_p,0.9418,0.006058052492344367,54.64692872883727
1,roberta-large,0,2000,5,None,copa,0.8171999999999999,0.010158740079360186,192.92243849005007
2,roberta-large,0,2000,5,None,emotion,0.4393000000000001,0.06090730662244061,86.0983592044477
3,roberta-large,0,2000,5,None,figqa,0.7053016453382084,0.009424304510992328,198.07787021100688
4,roberta-large,0,2000,5,None,mrpc,0.7089855072463769,0.011666441621738017,243.23519644140364
5,roberta-large,0,2000,5,None,storycloze,0.896694214876033,0.01566709802489989,129.95431225222165
6,roberta-large,0,2000,5,None,yahoo,0.4596,0.0005477225575051665,149.08511778587314
7,roberta-large,32,2000,5,None,amazon_p,0.9427999999999999,0.0023874672772626663,54.21634928498109
8,roberta-large,32,2000,5,None,copa,0.8128,0.007155417527999278,195.14122512710105
9,roberta-large,32,2000,5,None,emotion,0.4156000000000001,0.04606300033649566,86.30573588919403
10,roberta-large,32,2000,5,None,figqa,0.713711151736746,0.011533316486718473,198.67021442714253
11,roberta-large,32,2000,5,None,mrpc,0.702376811594203,0.01309554824140292,239.28120138799514
12,roberta-large,32,2000,5,None,storycloze,0.8927685950413224,0.013095816500244373,131.19136895443748
13,roberta-large,32,2000,5,None,yahoo,0.45920000000000005,0.00044721359549995833,149.39231173934655
14,roberta-large,200,2000,5,None,amazon_p,0.9405999999999999,0.003507135583350011,54.804568701132816
15,roberta-large,200,2000,5,None,copa,0.8160000000000001,0.006928203230275459,195.1752359700321
16,roberta-large,200,2000,5,None,emotion,0.43929999999999997,0.06090730662244061,86.35487610354518
17,roberta-large,200,2000,5,None,figqa,0.7098720292504571,0.008637904683676395,195.97902380485004
18,roberta-large,200,2000,5,None,mrpc,0.7125797101449274,0.0017098992700002728,239.05304965023953
19,roberta-large,200,2000,5,None,storycloze,0.9064049586776859,0.0011778671746892101,132.23341420016132
20,roberta-large,200,2000,5,None,yahoo,0.45940000000000003,0.0005477225575051665,149.42760782839278
21,roberta-large,500,2000,5,None,amazon_p,0.9408000000000001,0.004147288270665497,54.92221929071646
22,roberta-large,500,2000,5,None,copa,0.8160000000000001,0.008831760866327799,195.28933382206594
23,roberta-large,500,2000,5,None,emotion,0.45990000000000003,0.05958229602826663,86.37885670079618
24,roberta-large,500,2000,5,None,figqa,0.7007312614259599,0.0005006604730394441,196.9958290716416
25,roberta-large,500,2000,5,None,mrpc,0.7073623188405798,0.010863959907359975,239.75799311850815
26,roberta-large,500,2000,5,None,storycloze,0.9064049586776859,0.0009239950320247283,133.03537638722418
27,roberta-large,500,2000,5,None,yahoo,0.45920000000000005,0.00044721359549995833,148.65848597638382
28,roberta-large,1000,2000,5,None,amazon_p,0.9457999999999999,0.002280350850198278,54.37385914759729
29,roberta-large,1000,2000,5,None,copa,0.8164000000000001,0.008173126696680976,194.55925053521324
30,roberta-large,1000,2000,5,None,emotion,0.4568,0.0564154234230321,86.02040468822446
31,roberta-large,1000,2000,5,None,figqa,0.7053016453382084,0.009424304510992328,197.78481375613566
32,roberta-large,1000,2000,5,None,mrpc,0.7028405797101449,0.013493679820014478,238.11059473447676
33,roberta-large,1000,2000,5,None,storycloze,0.9022727272727273,0.011212366571252188,131.76218626031783
34,roberta-large,1000,2000,5,None,yahoo,0.4598,0.00044721359549995833,149.5557724942979
35,roberta-large,full,2000,5,None,amazon_p,0.9433999999999999,0.003714835124201345,54.52650002215719
36,roberta-large,full,2000,5,None,copa,0.8172,0.010158740079360185,192.49559781126098
37,roberta-large,full,2000,5,None,emotion,0.4774,0.04606300033649566,85.90761734846578
38,roberta-large,full,2000,5,None,figqa,0.7096892138939672,0.011354437942855884,198.44423938561124
39,roberta-large,full,2000,5,None,mrpc,0.712463768115942,0.0016396678984035582,238.63748037354821
40,roberta-large,full,2000,5,None,storycloze,0.8966942148760332,0.012757323383500486,130.34550404366044
41,roberta-large,full,2000,5,None,yahoo,0.45920000000000005,0.00044721359549995833,147.69905071925086
